vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,car_name_freq
1,10000,20.52,1197,81.8,5,500000,717
12,43000,19.7,796,46.3,5,140000,778
8,64000,18.0,1198,86.7,5,349000,362
7,30000,20.51,998,67.06,5,325000,717
7,63000,17.8,1497,117.3,5,435000,757
3,28000,31.79,998,58.33,5,455000,237
3,25000,9.17,2995,335.25,7,6200000,51
4,32226,17.8,1497,117.3,5,755000,757
7,65000,23.95,998,67.05,5,245000,778
2,14000,20.8,1493,113.4,5,1350000,28
3,15000,24.04,999,67.0,5,310000,306
3,30000,14.28,1998,254.7,4,5500000,18
3,32000,19.3,1248,73.9,5,675000,890
2,30000,20.52,1197,81.8,5,500000,717
11,25000,20.36,1197,78.9,5,300000,410
5,35000,15.4,2179,120.0,7,1450000,273
8,140000,12.05,2179,120.0,8,530000,273
7,65597,22.7,1498,89.84,5,575000,374
4,35000,18.6,1197,81.83,5,550000,906
7,160000,26.21,1248,88.5,5,500000,346
1,7124,21.01,1197,81.8,5,643000,364
2,15000,18.1,999,123.24,5,1000000,374
5,34000,18.9,1197,82.0,5,550000,580
10,280000,20.54,1598,103.6,5,300000,247
3,40000,20.3,1199,84.0,5,470000,37
7,77000,26.0,1498,98.6,5,525000,757
4,15000,19.44,1198,67.0,7,469000,85
9,60000,20.92,998,67.1,5,210000,778
8,120000,22.74,796,47.3,5,200000,778
2,2500,23.01,999,67.0,5,400000,306
8,50000,16.36,2179,187.7,5,2150000,52
5,46500,23.1,998,67.04,5,340000,237
16,5000,19.7,796,46.3,5,95000,778
9,68000,22.9,1248,74.0,5,381000,781
10,45000,14.94,2143,204.0,5,775000,118
4,20000,28.4,1248,74.02,5,700000,890
4,106000,28.09,1248,88.5,5,675000,346
6,28000,18.0,1497,117.3,5,670000,757
3,50000,16.0,2179,140.0,7,1050000,330
2,19000,13.38,2993,265.0,5,7900000,25
10,55000,17.0,1497,118.0,5,360000,757
4,53000,25.83,1498,99.0,5,400000,271
7,89000,22.32,1582,126.32,5,470000,492
3,22000,24.7,796,47.3,5,304000,778
7,69000,26.0,1498,98.6,5,490000,757
5,155000,15.4,1997,120.0,7,864000,273
8,85000,16.0,2179,140.0,7,480000,330
2,3600,20.52,1197,81.8,5,575000,717
2,5000,21.4,1197,83.1,5,686000,364
6,143000,12.99,2494,100.0,7,780000,545
3,24000,17.68,1968,174.33,5,3490000,64
2,28000,17.41,1956,167.68,5,1699000,19
2,44000,28.4,1248,74.0,5,800000,781
3,10000,21.4,1197,83.1,5,680000,364
11,200000,11.5,2982,171.0,7,1200000,187
9,187031,12.99,2494,100.0,8,525000,545
2,22346,17.0,1497,121.36,5,955000,374
9,120000,21.9,1396,90.0,5,350000,906
1,1000,17.03,1462,103.26,5,800000,295
16,56700,19.7,796,46.3,5,75000,778
6,170000,16.0,2179,140.0,7,825000,330
2,60000,17.3,1497,121.0,8,1476000,24
3,40000,18.2,1199,88.7,5,670000,175
9,28000,19.7,796,46.3,5,180000,778
4,35000,18.9,1197,81.86,5,490000,580
4,20000,21.4,1197,83.1,5,550000,364
7,40000,20.36,1197,78.9,5,350000,410
2,35000,13.68,2393,147.8,8,1500000,545
9,74000,20.0,1399,68.05,5,190000,271
7,46500,20.45,1461,83.8,5,460000,218
2,8000,21.21,1197,81.8,5,650000,781
5,120000,28.09,1248,88.5,5,700000,346
4,34000,20.4,1197,81.8,5,455000,781
7,54000,22.0,1197,81.8,5,365000,781
7,11275,19.1,1197,85.8,5,470000,890
3,35000,12.9,2755,174.5,7,2950000,187
9,48000,22.9,1248,74.0,5,400000,781
6,68000,19.87,1461,83.8,5,550000,218
2,23000,13.9,1799,130.2,5,1519000,59
3,31500,28.4,1248,74.02,5,740000,890
8,73000,25.8,1498,98.6,5,325000,362
1,10000,20.7,1197,81.86,5,600000,580
8,208000,25.8,1498,98.6,5,300000,362
11,30000,20.36,1197,78.9,5,300000,410
5,83000,26.6,998,58.16,5,345000,717
3,60000,15.4,2523,75.0,7,900000,273
5,83000,16.0,1997,140.0,7,1025000,330
4,58132,12.4,2499,134.0,5,1450000,7
6,34000,20.4,1197,81.8,5,400000,781
7,45120,25.8,1498,98.6,5,367000,362
2,15000,18.9,1197,81.86,5,535000,580
2,15000,19.34,1462,103.0,7,805000,343
1,1000,15.81,1451,141.0,5,1488000,19
9,64000,20.36,1197,78.9,5,250000,410
10,98000,14.21,2143,203.0,5,700000,125
5,65000,24.3,1248,88.5,5,675000,295
6,84000,28.4,1248,74.0,5,425000,781
6,33000,22.74,796,47.3,5,260000,778
5,55670,17.8,1497,117.3,5,700000,757
4,50000,27.39,1248,74.0,5,560000,364
15,148000,16.8,1493,110.0,5,155000,492
5,47000,15.15,2967,240.0,5,5975000,16
2,18000,19.01,1462,103.26,7,800000,343
10,52420,22.69,1995,190.0,5,750000,152
6,10000,18.9,1197,82.0,5,350000,580
5,40000,13.68,2393,147.8,8,1380000,545
6,50000,15.4,2179,120.0,7,1000000,273
3,50000,17.5,1373,91.1,7,700000,343
12,76963,17.5,1298,85.8,5,230000,890
5,52890,18.12,1995,190.0,5,2800000,118
5,45000,30.46,796,47.3,5,350000,778
3,25000,27.39,1248,74.0,5,825000,364
3,10103,25.17,799,53.3,5,325000,306
7,24000,17.05,1995,184.0,5,1675000,54
7,47240,15.1,2179,140.0,7,800000,330
2,30000,23.1,998,67.04,5,400000,237
3,58000,13.68,2393,147.51,7,1750000,545
8,65000,16.55,1968,147.51,5,1200000,99
6,35213,22.54,1396,88.73,5,535000,906
6,35000,18.9,1197,82.0,5,356000,580
9,92000,16.0,2179,140.0,7,550000,330
3,34500,21.94,1196,61.7,5,360000,125
4,50000,24.52,1248,88.5,7,700000,343
5,30000,18.9,1197,82.0,5,390000,580
9,51000,12.55,2982,168.7,7,1245000,187
4,60000,16.0,2179,140.0,7,1150000,330
10,83000,18.9,998,67.1,5,180000,717
7,70000,15.0,1598,103.52,5,425000,182
2,50000,19.0,1194,94.68,5,650000,33
9,60000,22.9,1248,74.0,5,400000,781
12,51000,17.0,1497,118.0,5,275000,757
10,40000,19.7,796,46.3,5,170000,778
11,100000,13.14,1798,157.8,5,235000,93
10,160000,14.84,2143,170.0,5,700000,118
7,70000,23.95,998,67.05,5,250000,778
8,70000,18.6,1197,85.8,5,350000,781
5,50000,18.6,1197,81.83,5,480000,906
4,30000,21.21,1197,81.8,5,690000,890
6,60000,26.21,1248,88.5,5,670000,346
10,50000,20.92,998,67.1,5,250000,778
4,42000,15.4,2523,75.0,7,935000,273
2,15000,17.0,1591,121.3,5,1030000,492
16,33650,18.9,998,67.1,5,110000,717
6,35000,18.6,1197,81.83,5,470000,906
6,30000,20.4,1197,81.8,5,370000,781
3,100000,23.1,998,67.04,5,450000,237
5,58000,26.2,998,58.2,5,275000,717
2,4000,21.21,1197,81.8,5,731000,890
5,60000,20.51,998,67.04,5,380000,717
3,60000,21.5,1497,108.5,5,900000,85
5,34000,18.0,1198,86.7,5,500000,362
4,42000,20.63,1198,67.06,5,330000,85
3,60000,17.6,2179,153.86,7,1400000,41
8,80000,22.32,1582,126.3,5,540000,492
13,120000,13.6,2523,63.0,7,375000,211
5,50000,10.26,2694,163.7,7,2600000,187
5,35200,14.7,1496,120.69,5,725000,374
1,3700,18.6,1197,81.86,5,765000,906
5,25000,20.51,998,67.04,5,380000,717
4,64000,12.9,2755,174.5,7,2625000,187
8,50000,15.1,2179,140.0,7,621000,330
2,15000,21.21,1197,81.8,5,600000,890
